,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sortOrder,appId,month
0,ca3472f1-3cbf-4d51-9699-99fa7ffe5b61,Yanto Botak (Ai),https://play-lh.googleusercontent.com/a-/ALV-UjWIMekArhUFNtBuQaouRqZHHdUlVHGkQh7Nxk-DumWu7A,Gamenya bagus tapi saat bermain kadang layar membeku dan tidak bisa di apa apakan dan solusinya login ulang dan beberapa hero tidak seimbang ada hero op banget dan jelek banget. Untuk rank lawan sering tidak seimbang dan banyak player yang stak di rank itu terus. Kalau bisa di buat tutorial yang lebih dimengerti oleh pemula.,3,1567,1.7.94.8681,2023-08-01 07:57:01,,,1.7.94.8681,most_relevant,com.mobile.legends,August
1,b5a15f6e-267d-460a-8cce-c08254383d80,Dhe Shogun,https://play-lh.googleusercontent.com/a/ACg8ocKKhkA2l6ti7_HS1azgb-yFjCI9hkpEzWX-TaqvLbg-=mo,"Saya memiliki keluhan terhadap game ini, saya selalu mendapatkan tim yang tidak dapat di andalkan dalam permainan, saya mengalami kekalahan sebanyak 7 kali lebih berturut-turut, saya sudah melaporkan nya ke form penyeimbangan matchmaking namun tidak kunjung mendapatkan perubahan, diberi kemenangan pun hanya 1 kali dan pada pertandingan berikut nya kekalahan terjadi lagi. Maka dari itu tolong untuk memperbaiki ""algoritma"" yang telah di janjikan berkali kali itu.",1,1072,1.8.8.8811,2023-08-08 12:26:47,,,1.8.8.8811,most_relevant,com.mobile.legends,August
2,18b707a7-f4d9-4b3c-b7d8-c428e86f4f4f,Elysa Devita,https://play-lh.googleusercontent.com/a-/ALV-UjVVgLUTqKpGPhUboW8v3sL8QMUBJkTplwiZv42ZwbCuYyU,"Saya pemain lama emel, makin lama emel sering lag montoon apa lagi pas lagi war bahkan bisa sampai ga bisa gerak padahal jaringan internet bagus bagus aja, tolong diperbaiki bug nya Montoon, untuk yang lain lain seperti Hero,grafik,voice Hero udah bagus yang kurang dari game ini cuman kondisi jaringannya mohon maaf jika ada kesalahan kata. Sekian, terimakasih🙏🏻😁",3,181,1.8.8.8811,2023-08-09 07:47:52,"Dear Hero,
Terima kasih atas tanggapan Anda, sudah kami catat. Kami akan membahas masalah dengan serius dan berusaha untuk meningkatkan pengalaman game yang sesuai. Jika Anda memiliki pertanyaan atau saran lebih lanjut, jangan ragu untuk menghubungi CS in-game, kami akan membantu Anda sesegera mungkin.",2023-08-13 10:42:07,1.8.8.8811,most_relevant,com.mobile.legends,August
3,6c81fd1d-0da8-4baa-9774-f91be3b2c913,Meira Arika,https://play-lh.googleusercontent.com/a-/ALV-UjU7S5ot8CyhPDnSj4V0mzdSkkEZss3L99oGMNHORhRQlR8,"Tolong kembalikan performa Mobile Legends seperti dahulu. Saat sinyal tidak mudah jumping-jumping. Tolong sesuaikan tim sendiri dan tim lawan. ""Tolong berikan kami lawan yang seimbang, tidak mudah namun tidak mempersulit..."" Juga untuk data jangan terlalu besar. Handphone ram 3gb mengkis-mengkis (sesak) :d",4,19953,1.8.8.8811,2023-08-09 15:42:44,,,1.8.8.8811,most_relevant,com.mobile.legends,August
4,aa2126cd-0464-493d-898b-a2ef5ea7fdde,Ryan Setiawan,https://play-lh.googleusercontent.com/a-/ALV-UjXghHP3EDHDi57z_Ab8dN1wWcvESDYFPk0qomnliKOnzg4,"Tolong diperbaiki sinyal dan kapasitas penyimpanan disetiap hp android tertentu dan matchmaking yg lebih seimbang. Untuk teks terkadang masih suka bug untuk menyampaikan pesan ke teman selalu diberi peringatan oleh pihak moonton,mohon dikoreksi lagi jika mengandung kata2 kurang sopan / sara gpp di ban untuk sementara",5,2446,1.8.8.8811,2023-08-10 00:15:55,,,1.8.8.8811,most_relevant,com.mobile.legends,August
5,6a8d6588-08a5-41d7-8e6b-eca578c76083,Sifa Sifa,https://play-lh.googleusercontent.com/a/ACg8ocL1-sYezD6kxTAOt2h8s3-98vR87lwbdGzDc6kjZ7_N=mo,"Jangan update terus moonton, perbaiki aja jaringannya . Sering banget ngefram, sering banget tiba² keluar dari game. Padahal wifi enak , data juga ada.",4,7,1.8.8.8811,2023-08-10 10:18:34,,,1.8.8.8811,most_relevant,com.mobile.legends,August
6,c2a9ad51-42aa-4f7c-9967-5a97147d13d2,Zugiyati Atila,https://play-lh.googleusercontent.com/a/ACg8ocJ8yex5EPxQXwkFh9Vc7dSJ9hwAhbclJtbMdWvN-Ime=mo,"Untuk pengurangan kredit skor tolong diberi keringanan, jika bisa penambahan kredit skor perhari yang hanya cuma 3 ditambah, 4 atau mungkin 5... Agar player bisa lebih mudah membuka mode rank dan jika tidak, mungkin game ini akan sepi dalam beberapa bulan kedepan, sistem banding sangat tidak relevan dengan keadaan sekarang ditambah support system' service moonton yang lambat menangangani keluhan user, mungkin itu sedikit saran dari saya, terimakasih",2,1846,1.7.94.8681,2023-08-10 15:27:46,,,1.7.94.8681,most_relevant,com.mobile.legends,August
7,d705b8a5-3701-48d2-8580-9fe65d056373,Fairus rvldy Gaming,https://play-lh.googleusercontent.com/a-/ALV-UjWb8qQX4Dk12FkZVLupz5v4tZDy_pGJOpQB2jaLBO6DDA,"Ada faktor di game moba yang saya review antara lain :  1 . Tolong perbaiki sinyal terutama untuk kenyamanan saat bermain , kalo saya review di comment mobile legend kendala utama yaitu sinyal dan itu benar ..  2 . Untuk update itu sudah bagus dan tidak masalah tapi lagi-lagi permasalahan nya yaitu sinyal dan itu benar .. 3 . Kenapa update disetiap season itu tolong dikurangi dan perbaiki saja soal update yang mempengaruhi tiap player seperti sinyal yang naik turun kadang ( 20 ms /288ms )",1,1073,1.8.8.8811,2023-08-11 02:45:44,"Dear Hero,
Terima kasih atas tanggapan Anda, sudah kami catat. Kami akan membahas masalah dengan serius dan berusaha untuk meningkatkan pengalaman game yang sesuai. Jika Anda memiliki pertanyaan atau saran lebih lanjut, jangan ragu untuk menghubungi CS in-game, kami akan membantu Anda sesegera mungkin.",2023-08-17 06:57:56,1.8.8.8811,most_relevant,com.mobile.legends,August
8,e7339984-06ee-4b9a-a3ae-f83177d0ac2c,Yeni Widya,https://play-lh.googleusercontent.com/a-/ALV-UjV0B8sVWG5UA7NrLI6p1sllDdjTMMa0UsdWPqz3glpT8MA,"Sebenernya udah bagus dari segi game. Cuman kekurangan nya banyak, jaringan suka hilang pas lagi main, Pas mau mulai dapet lawan yg gak seimbang, unduh resource nya terlalu memakan memori, suka patah2 pas main/ lag. Tolong ya diperbaiki lagi, saya sebagai pemain di game ini kadang cukup dirugikan . Jadi tolong dipermudah. TAMBAHAN : "" INI KENAPA YA JARINGAN SAYA MERAH KUNINGELULU PAS MAIN, PADAHAL SAYA PAKE WIFI. DARI KEMAREN2 GAK BERUBAH2 KEK GITU TERUS, PADAHAL SEBELUMNYA UPDATE BAGUS AJA!",3,1035,1.8.8.8811,2023-08-11 07:44:19,,,1.8.8.8811,most_relevant,com.mobile.legends,August
9,839c45f2-f126-4ad2-8c28-768f24d3ce99,Leya Ansika,https://play-lh.googleusercontent.com/a-/ALV-UjXSkKhDqyPrmjeHm4DJYf3v4h-D8W27WcyJ2hmkOHVObag,Ini bagus si gamenya. Tapi hari ini waktu mau main malah download resource terus. Bolak balik tulisan nya cuma moonton. Sebelum nya saya juga ganti intro ml sih. Apakah ganti intro ngaruh ya? Kalo misalnya nggak tolong di perbaiki. Ini intro ml nya juga udah saya ganti semula. Tapi masih download resource terus. Sekali lagi tolong diperbaiki ya kalo lag,3,166,1.8.8.8811,2023-08-11 23:25:00,,,1.8.8.8811,most_relevant,com.mobile.legends,August
